1	278.54	69376.6	0.894208
2	145.487	21383.4	1.01025
3	718.092	523960	1.0161
4	183.629	33100	0.981622
5	292.173	118002	1.38232
6	172.143	25081.5	0.846401
7	262.332	63636.7	0.924707
8	245.466	55601.6	0.922795
9	181.982	24876.4	0.751157
10	208.533	36808.3	0.846441
11	268.374	69963.1	0.971375
12	436.466	138798	0.72859
13	171.126	20278.8	0.692481
14	381.449	156646	1.07658
15	439.922	335035	1.73117
16	419.909	203027	1.15145
17	151.448	19308.6	0.84183
18	338.945	101590	0.884287
19	199.92	37599.2	0.940734
20	235.464	73814.3	1.33135
21	177.162	31004	0.987817
22	369.277	106779	0.783039
23	110.949	9631.78	0.782451
24	253.589	43751.3	0.680344
25	168.878	20963.9	0.735068
26	227.901	37915.2	0.729993
27	421.719	142124	0.799133
28	245.93	48759.8	0.806194
29	178.174	28043.7	0.883375
30	182.112	24904.6	0.75094
31	448.23	133860	0.666265
32	164.702	23462.2	0.864905
33	424.409	135805	0.753954
34	348.797	166529	1.36882
35	297.345	78351.5	0.886192
36	132.47	13816	0.787319
37	284.614	73720	0.910069
38	180.254	27775.5	0.85486
39	256.404	52606	0.800174
40	407.784	195149	1.17356
41	345.723	89585.1	0.749512
42	261.078	87271.5	1.28036
43	242.468	55392.6	0.942199
44	179.161	28306.4	0.88185
45	204.116	35636.4	0.855341
46	239.017	50258.6	0.879734
47	227.076	43788	0.849207
48	203.03	56358.9	1.36724
49	567.121	265776	0.826349
50	468.948	253665	1.15348
